geographyid,region,date,monthsofsupply,mediansaleprice
19460,"Decatur, AL",2017-02-01,4.4,107000
22840,"Fort Payne, AL",2017-03-01,4.1,92000
10760,"Alexander City, AL",2017-12-01,3.0,105000
23460,"Gadsden, AL",2018-07-01,4.6,144000
26620,"Huntsville, AL",2018-11-01,3.2,207000
22840,"Fort Payne, AL",2018-12-01,5.2,115000
13820,"Birmingham, AL",2019-02-01,4.0,190000
19460,"Decatur, AL",2019-04-01,2.9,145000
26620,"Huntsville, AL",2019-05-01,2.5,222000
42460,"Scottsboro, AL",2019-05-01,5.7,135000
10760,"Alexander City, AL",2019-09-01,12.0,89000
11500,"Anniston, AL",2019-10-01,4.5,125000
13820,"Birmingham, AL",2020-05-01,3.3,238000
19460,"Decatur, AL",2020-08-01,1.7,176000
26620,"Huntsville, AL",2020-08-01,1.8,250000
10700,"Albertville, AL",2020-09-01,2.2,160000
23460,"Gadsden, AL",2020-11-01,2.7,164000
42460,"Scottsboro, AL",2020-11-01,3.7,123000
38220,"Pine Bluff, AR",2012-02-01,11.1,48000
31680,"Malvern, AR",2012-06-01,9.3,77000
12900,"Batesville, AR",2013-01-01,42.0,90000
42620,"Searcy, AR",2013-01-01,6.1,135000
21820,"Fairbanks, AK",2012-09-01,4.0,210000
11260,"Anchorage, AK",2013-11-01,5.3,274000
11260,"Anchorage, AK",2014-06-01,5.0,280000
21820,"Fairbanks, AK",2018-05-01,5.6,232000
11260,"Anchorage, AK",2018-11-01,6.3,295000
21820,"Fairbanks, AK",2019-08-01,3.9,266000
10760,"Alexander City, AL",2012-04-01,8.0,34000
45180,"Talladega, AL",2012-08-01,5.0,129000
42460,"Scottsboro, AL",2012-12-01,3.7,100000
11500,"Anniston, AL",2013-07-01,5.3,90000
42460,"Scottsboro, AL",2013-07-01,3.5,75000
11500,"Anniston, AL",2013-08-01,3.5,100000
10700,"Albertville, AL",2013-09-01,5.8,106000
10700,"Albertville, AL",2014-03-01,4.7,94000
22840,"Fort Payne, AL",2014-03-01,4.8,106000
22840,"Fort Payne, AL",2014-04-01,3.9,90000
13820,"Birmingham, AL",2014-09-01,3.5,172000
42460,"Scottsboro, AL",2014-09-01,5.9,98000
26620,"Huntsville, AL",2015-01-01,5.2,150000
23460,"Gadsden, AL",2015-04-01,5.3,115000
19460,"Decatur, AL",2015-05-01,4.3,142000
11500,"Anniston, AL",2015-07-01,5.2,104000
42460,"Scottsboro, AL",2016-04-01,3.3,92000
26620,"Huntsville, AL",2016-06-01,3.5,175000
10700,"Albertville, AL",2016-09-01,4.3,113000
